,0
1117.0,MSappapa
1118.0,MSappapp
1119.0,MSappp
1120.0,MSapppa
1121.0,MSapppaa
1122.0,MSapppap
1123.0,MSapppp
1124.0,MSappppa
1125.0,MSappppp
1126.0,MSp
1127.0,MSpa
1128.0,MSpaa
1129.0,MSpaaa
1130.0,MSpaaaa
1131.0,MSpaaaaa
1132.0,MSpaaaaaa
1133.0,MSpaaaaap
1134.0,MSpaaaap
1135.0,MSpaaaapa
1136.0,MSpaaaapp
1137.0,MSpaaap
1138.0,MSpaaapa
1139.0,MSpaaapaa
1140.0,MSpaaapap
1141.0,MSpaaapp
1142.0,MSpaaappa
1143.0,MSpaaappp
1144.0,MSpaap
1145.0,MSpaapa
1146.0,MSpaapaa
1147.0,MSpaapaaa
1148.0,MSpaapaap
1149.0,MSpaapap
1150.0,MSpaapapa
1151.0,MSpaapapp
1152.0,MSpaapp
1153.0,MSpap
1154.0,MSpapa
1155.0,MSpapaa
1156.0,MSpapaaa
1157.0,MSpapaaaa
1158.0,MSpapaaap
1159.0,MSpapaap
1160.0,MSpapaapa
1161.0,MSpapaapp
1162.0,MSpapap
1163.0,MSpapapa
1164.0,MSpapapaa
1165.0,MSpapapap
1166.0,MSpapapp
1167.0,MSpapappa
1168.0,MSpapappp
1169.0,MSpapp
1170.0,MSpappa
1171.0,MSpappaa
1172.0,MSpappap
1173.0,MSpappp
1174.0,MSpapppa
1175.0,MSpapppaa
1176.0,MSpapppap
1177.0,MSpapppp
1178.0,MSpp
1179.0,MSppa
1180.0,MSppaa
1181.0,MSppaaa
1182.0,MSppaaaa
1183.0,MSppaaap
1184.0,MSppaap
1185.0,MSppaapa
1186.0,MSppaapp
1187.0,MSppap
1188.0,MSppapa
1189.0,MSppapaa
1190.0,MSppapap
1191.0,MSppapp
1192.0,MSppappa
1193.0,MSppappp
1194.0,MSppp
1195.0,MSpppa
1196.0,MSpppaa
1197.0,MSpppaaa
1198.0,MSpppaap
1199.0,MSpppap
1200.0,MSpppapa
