,0
ABalaaaar,ABalaaaa
ABalaaapa,ABalaaap
ABalaaapp,ABalaaap
ABalaapaa,ABalaapa
ABalaapap,ABalaapa
ABalaappa,ABalaapp
ABalaappp,ABalaapp
ABalapaaa,ABalapaa
ABalapaap,ABalapaa
ABalapapa,ABalapap
ABalapapp,ABalapap
ABalappaa,ABalappa
ABalappap,ABalappa
ABalapppa,ABalappp
ABalapppp,ABalappp
ABalpaaaa,ABalpaaa
ABalpaaap,ABalpaaa
ABalpaapa,ABalpaap
ABalpaapp,ABalpaap
ABalpapaa,ABalpapa
ABalpapap,ABalpapa
ABalpappa,ABalpapp
ABalpappp,ABalpapp
ABalppaaa,ABalppaa
ABalppaap,ABalppaa
ABalppapa,ABalppap
ABalppapp,ABalppap
ABalpppaa,ABalpppa
ABalpppap,ABalpppa
ABalppppa,ABalpppp
ABalppppp,ABalpppp
ABaraaaaa,ABaraaaa
ABaraaaap,ABaraaaa
ABaraaapa,ABaraaap
ABaraaapp,ABaraaap
ABaraapaa,ABaraapa
ABaraapap,ABaraapa
ABaraappa,ABaraapp
ABaraappp,ABaraapp
ABarapaaa,ABarapaa
ABarapaap,ABarapaa
ABarapapa,ABarapap
ABarapapp,ABarapap
ABarappaa,ABarappa
ABarappap,ABarappa
ABarapppa,ABarappp
ABarapppp,ABarappp
ABarpaaaa,ABarpaaa
ABarpaaap,ABarpaaa
ABarpaapa,ABarpaap
ABarpaapp,ABarpaap
ABarpapaa,ABarpapa
ABarpapap,ABarpapa
ABarpappa,ABarpapp
ABarpappp,ABarpapp
ABarppaaa,ABarppaa
ABarppaap,ABarppaa
ABarppapa,ABarppap
ABarppapp,ABarppap
ABarpppaa,ABarpppa
ABarpppap,ABarpppa
ABarppppa,ABarpppp
ABarppppp,ABarpppp
ABplaaaaa,ABplaaaa
ABplaaaap,ABplaaaa
ABplaaapa,ABplaaap
ABplaaapp,ABplaaap
ABplaapaa,ABplaapa
ABplaapap,ABplaapa
ABplaappa,ABplaapp
ABplaappp,ABplaapp
ABplapaaa,ABplapaa
ABplapaap,ABplapaa
ABplapapa,ABplapap
ABplapapp,ABplapap
ABplappaa,ABplappa
ABplappap,ABplappa
ABplapppa,ABplappp
ABplapppp,ABplappp
ABplpaaaa,ABplpaaa
ABplpaaap,ABplpaaa
ABplpaapa,ABplpaap
ABplpaapp,ABplpaap
ABplpapaa,ABplpapa
ABplpapap,ABplpapa
ABplpappa,ABplpapp
ABplpappp,ABplpapp
ABplppaaa,ABplppaa
ABplppaap,ABplppaa
ABplppapa,ABplppap
ABplppapp,ABplppap
ABplpppaa,ABplpppa
ABplpppap,ABplpppa
ABplppppa,ABplpppp
ABplppppp,ABplpppp
ABpraaaaa,ABpraaaa
ABpraaaap,ABpraaaa
ABpraaapa,ABpraaap
ABpraaapp,ABpraaap
ABpraapaa,ABpraapa
